product_id,product_name,category,current_quantity,last_restock_quantity,days_since_restock,priority_score,recommendation,suggested_quantity
511,Product 511,Home & Kitchen,1,187,30,0.9962765957446809,URGENT - Restock immediately,187
4867,Product 4867,Home & Kitchen,3,180,30,0.9883977900552485,URGENT - Restock immediately,180
183,Product 183,Clothing,2,130,29,0.9793129770992366,URGENT - Restock immediately,130
1905,Product 1905,Automotive,5,142,30,0.9755244755244754,URGENT - Restock immediately,142
493,Product 493,Home & Kitchen,2,154,28,0.9709677419354839,URGENT - Restock immediately,154
3812,Product 3812,Books,5,168,29,0.9692899408284024,URGENT - Restock immediately,168
4425,Product 4425,Clothing,7,198,29,0.9653768844221104,URGENT - Restock immediately,198
1733,Product 1733,Home & Kitchen,1,139,27,0.965,URGENT - Restock immediately,139
1944,Product 1944,Clothing,5,134,29,0.9640740740740741,URGENT - Restock immediately,134
2613,Product 2613,Home & Kitchen,4,146,28,0.9609523809523808,URGENT - Restock immediately,146
3275,Product 3275,Automotive,5,85,30,0.9593023255813953,URGENT - Restock immediately,100
405,Product 405,Clothing,2,113,27,0.957719298245614,URGENT - Restock immediately,113
2353,Product 2353,Electronics,1,56,27,0.957719298245614,URGENT - Restock immediately,100
2970,Product 2970,Sports,1,139,26,0.955,URGENT - Restock immediately,139
4499,Product 4499,Sports,1,114,26,0.9539130434782609,URGENT - Restock immediately,114
2195,Product 2195,Automotive,11,157,30,0.9512658227848101,URGENT - Restock immediately,157
376,Product 376,Sports,2,147,26,0.9505405405405405,URGENT - Restock immediately,147
3850,Product 3850,Clothing,5,172,27,0.9497687861271675,URGENT - Restock immediately,172
2392,Product 2392,Toys,9,134,29,0.9433333333333334,URGENT - Restock immediately,134
3240,Product 3240,Books,5,92,28,0.9423655913978495,URGENT - Restock immediately,100
4777,Product 4777,Electronics,1,67,25,0.9397058823529412,URGENT - Restock immediately,100
1308,Product 1308,Automotive,2,67,26,0.9394117647058823,URGENT - Restock immediately,100
366,Product 366,Clothing,2,55,26,0.9349999999999999,URGENT - Restock immediately,100
3721,Product 3721,Automotive,14,176,29,0.9346327683615818,URGENT - Restock immediately,176
1801,Product 1801,Sports,16,199,29,0.9339999999999999,URGENT - Restock immediately,199
1836,Product 1836,Sports,2,178,24,0.9321787709497207,URGENT - Restock immediately,178
3394,Product 3394,Sports,4,147,25,0.9310810810810811,URGENT - Restock immediately,147
1878,Product 1878,Sports,13,180,28,0.9297237569060772,URGENT - Restock immediately,180
2887,Product 2887,Clothing,2,68,25,0.9297101449275362,URGENT - Restock immediately,100
199,Product 199,Books,3,200,24,0.92955223880597,URGENT - Restock immediately,200
3248,Product 3248,Automotive,17,195,29,0.9292857142857143,URGENT - Restock immediately,195
867,Product 867,Home & Kitchen,9,200,26,0.9286567164179104,URGENT - Restock immediately,200
1286,Product 1286,Clothing,7,87,28,0.9243181818181818,URGENT - Restock immediately,100
3388,Product 3388,Clothing,11,136,28,0.923795620437956,URGENT - Restock immediately,136
1338,Product 1338,Toys,18,189,29,0.9236842105263157,URGENT - Restock immediately,189
1635,Product 1635,Books,8,150,26,0.9229139072847682,URGENT - Restock immediately,150
514,Product 514,Sports,15,182,28,0.9226229508196722,URGENT - Restock immediately,182
2556,Product 2556,Books,16,193,28,0.9222680412371134,URGENT - Restock immediately,193
3634,Product 3634,Sports,8,199,25,0.9219999999999999,URGENT - Restock immediately,199
3811,Product 3811,Home & Kitchen,8,195,25,0.9214285714285714,URGENT - Restock immediately,195
545,Product 545,Home & Kitchen,9,124,27,0.9196,URGENT - Restock immediately,124
3698,Product 3698,Electronics,6,137,25,0.9195652173913044,URGENT - Restock immediately,137
1490,Product 1490,Electronics,8,136,26,0.9191240875912409,URGENT - Restock immediately,136
1665,Product 1665,Toys,10,164,26,0.9175757575757576,URGENT - Restock immediately,164
3462,Product 3462,Sports,6,128,25,0.9174418604651162,URGENT - Restock immediately,128
2523,Product 2523,Sports,51,100,57,0.9165346534653465,URGENT - Restock immediately,100
1517,Product 1517,Toys,11,176,26,0.916497175141243,URGENT - Restock immediately,176
674,Product 674,Books,1,169,22,0.9158823529411764,URGENT - Restock immediately,169
432,Product 432,Electronics,19,177,29,0.9152808988764045,URGENT - Restock immediately,177
3287,Product 3287,Toys,3,79,24,0.91375,URGENT - Restock immediately,100
3145,Product 3145,Clothing,4,168,23,0.9134319526627218,URGENT - Restock immediately,168
459,Product 459,Automotive,1,104,22,0.9133333333333333,URGENT - Restock immediately,104
4268,Product 4268,Toys,18,188,28,0.9133333333333333,URGENT - Restock immediately,188
515,Product 515,Clothing,6,88,26,0.9128089887640449,URGENT - Restock immediately,100
719,Product 719,Automotive,14,168,27,0.9120118343195266,URGENT - Restock immediately,168
426,Product 426,Books,9,161,25,0.9111111111111111,URGENT - Restock immediately,161
1873,Product 1873,Books,8,142,25,0.9108391608391608,URGENT - Restock immediately,142
4315,Product 4315,Automotive,4,143,23,0.9105555555555555,URGENT - Restock immediately,143
1446,Product 1446,Electronics,8,69,29,0.9099999999999999,URGENT - Restock immediately,100
4749,Product 4749,Electronics,4,89,24,0.9088888888888889,URGENT - Restock immediately,100
3444,Product 3444,Electronics,3,94,23,0.9078947368421052,URGENT - Restock immediately,100
3560,Product 3560,Clothing,9,147,25,0.9074324324324323,URGENT - Restock immediately,147
4597,Product 4597,Toys,11,105,28,0.9073584905660377,URGENT - Restock immediately,105
2563,Product 2563,Sports,3,90,23,0.9069230769230768,URGENT - Restock immediately,100
2520,Product 2520,Automotive,2,58,23,0.906271186440678,URGENT - Restock immediately,100
2721,Product 2721,Home & Kitchen,18,149,29,0.9059999999999999,URGENT - Restock immediately,149
1661,Product 1661,Toys,7,105,25,0.9037735849056604,URGENT - Restock immediately,105
1116,Product 1116,Sports,19,196,27,0.90248730964467,URGENT - Restock immediately,196
3647,Product 3647,Home & Kitchen,7,84,26,0.9023529411764706,URGENT - Restock immediately,100
2294,Product 2294,Sports,2,168,21,0.9017159763313609,URGENT - Restock immediately,168
2627,Product 2627,Clothing,12,94,29,0.901578947368421,URGENT - Restock immediately,100
4200,Product 4200,Toys,9,106,26,0.9011214953271027,URGENT - Restock immediately,106
2722,Product 2722,Electronics,5,85,24,0.8993023255813953,URGENT - Restock immediately,100
1255,Product 1255,Toys,10,168,24,0.8985798816568047,URGENT - Restock immediately,168
4638,Product 4638,Toys,17,165,27,0.8983132530120482,URGENT - Restock immediately,165
848,Product 848,Toys,6,129,23,0.8976923076923076,URGENT - Restock immediately,129
720,Product 720,Clothing,8,169,23,0.8970588235294117,URGENT - Restock immediately,169
3860,Product 3860,Home & Kitchen,3,152,21,0.8962745098039214,URGENT - Restock immediately,152
617,Product 617,Clothing,53,93,59,0.8953191489361702,URGENT - Restock immediately,100
3253,Product 3253,Clothing,10,200,23,0.8951741293532338,URGENT - Restock immediately,200
1067,Product 1067,Toys,12,151,25,0.894736842105263,URGENT - Restock immediately,151
2966,Product 2966,Home & Kitchen,2,88,21,0.8942696629213482,URGENT - Restock immediately,100
2368,Product 2368,Toys,9,82,27,0.8940963855421686,URGENT - Restock immediately,100
857,Product 857,Clothing,6,114,23,0.8934782608695652,URGENT - Restock immediately,114
1614,Product 1614,Automotive,2,179,20,0.8922222222222221,URGENT - Restock immediately,179
330,Product 330,Sports,2,175,20,0.8920454545454545,URGENT - Restock immediately,175
4525,Product 4525,Home & Kitchen,7,83,25,0.8916666666666666,URGENT - Restock immediately,100
418,Product 418,Clothing,9,129,24,0.8915384615384615,URGENT - Restock immediately,129
2338,Product 2338,Books,6,85,24,0.8911627906976743,URGENT - Restock immediately,100
2269,Product 2269,Clothing,13,182,24,0.8902732240437158,URGENT - Restock immediately,182
1642,Product 1642,Home & Kitchen,17,196,25,0.8895939086294415,URGENT - Restock immediately,196
338,Product 338,Books,3,198,20,0.8894472361809045,URGENT - Restock immediately,198
3972,Product 3972,Automotive,54,98,57,0.8881818181818182,URGENT - Restock immediately,100
1224,Product 1224,Home & Kitchen,2,62,21,0.8877777777777777,URGENT - Restock immediately,100
877,Product 877,Clothing,11,179,23,0.8872222222222221,URGENT - Restock immediately,179
1398,Product 1398,Electronics,15,141,26,0.886056338028169,URGENT - Restock immediately,141
2020,Product 2020,Toys,7,64,26,0.8846153846153846,URGENT - Restock immediately,100
3912,Product 3912,Clothing,13,77,30,0.8833333333333333,URGENT - Restock immediately,100
3668,Product 3668,Home & Kitchen,51,96,55,0.8819587628865979,URGENT - Restock immediately,100
3274,Product 3274,Automotive,10,182,22,0.8817486338797814,URGENT - Restock immediately,182
1845,Product 1845,Books,17,151,26,0.8817105263157895,URGENT - Restock immediately,151
3833,Product 3833,Sports,16,142,26,0.8816783216783216,URGENT - Restock immediately,142
4009,Product 4009,Toys,14,166,24,0.881317365269461,URGENT - Restock immediately,166
29,Product 29,Automotive,10,141,23,0.8807042253521126,URGENT - Restock immediately,141
2086,Product 2086,Books,4,142,20,0.8804195804195803,URGENT - Restock immediately,142
4140,Product 4140,Sports,5,86,22,0.8797701149425287,URGENT - Restock immediately,100
4872,Product 4872,Toys,52,100,54,0.8796039603960396,URGENT - Restock immediately,100
3286,Product 3286,Books,18,138,27,0.8793525179856115,URGENT - Restock immediately,138
276,Product 276,Electronics,14,160,24,0.8791304347826087,URGENT - Restock immediately,160
478,Product 478,Toys,10,170,22,0.8790643274853801,URGENT - Restock immediately,170
1821,Product 1821,Clothing,7,95,23,0.8789583333333333,URGENT - Restock immediately,100
2903,Product 2903,Clothing,15,163,24,0.8759756097560976,URGENT - Restock immediately,163
1425,Product 1425,Home & Kitchen,4,165,19,0.8731325301204819,URGENT - Restock immediately,165
787,Product 787,Home & Kitchen,58,94,60,0.8726315789473684,URGENT - Restock immediately,100
3518,Product 3518,Home & Kitchen,19,112,29,0.8723008849557521,URGENT - Restock immediately,112
3982,Product 3982,Books,6,53,25,0.8722222222222221,URGENT - Restock immediately,100
1755,Product 1755,Electronics,15,117,26,0.8710169491525424,URGENT - Restock immediately,117
2800,Product 2800,Toys,15,117,26,0.8710169491525424,URGENT - Restock immediately,117
4305,Product 4305,Automotive,12,170,22,0.870877192982456,URGENT - Restock immediately,170
559,Product 559,Home & Kitchen,7,124,21,0.8707999999999999,URGENT - Restock immediately,124
2931,Product 2931,Clothing,19,148,26,0.870738255033557,URGENT - Restock immediately,148
3344,Product 3344,Toys,8,140,21,0.8702836879432624,URGENT - Restock immediately,140
2947,Product 2947,Clothing,5,109,20,0.8681818181818182,URGENT - Restock immediately,109
3250,Product 3250,Books,6,131,20,0.8681818181818182,URGENT - Restock immediately,131
2915,Product 2915,Home & Kitchen,6,80,22,0.8681481481481481,URGENT - Restock immediately,100
983,Product 983,Home & Kitchen,13,144,23,0.8672413793103448,URGENT - Restock immediately,144
4588,Product 4588,Books,14,116,25,0.8662393162393162,URGENT - Restock immediately,116
4781,Product 4781,Books,1,172,17,0.8659537572254334,URGENT - Restock immediately,172
4924,Product 4924,Home & Kitchen,1,166,17,0.8658083832335328,URGENT - Restock immediately,166
4818,Product 4818,Books,10,199,20,0.8649999999999999,URGENT - Restock immediately,199
4611,Product 4611,Home & Kitchen,11,80,26,0.8649382716049383,URGENT - Restock immediately,100
796,Product 796,Clothing,19,176,24,0.8648587570621469,URGENT - Restock immediately,176
3163,Product 3163,Sports,3,137,18,0.864782608695652,URGENT - Restock immediately,137
1439,Product 1439,Clothing,12,149,22,0.864,URGENT - Restock immediately,149
4152,Product 4152,Home & Kitchen,13,104,25,0.8633333333333333,URGENT - Restock immediately,104
