uid,pid1,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid9,pid10
3,117,77,55,10,80,134,176,0,0,0
4,188,139,6,27,7,49,96,200,60,33
5,51,99,178,96,142,11,10,189,13,121
6,173,111,99,6,23,62,17,84,112,0
7,141,48,109,89,44,93,0,0,0,0
8,24,167,61,127,48,178,62,181,149,38
9,131,143,123,110,165,168,17,148,132,162
10,28,59,182,8,10,21,35,4,0,0
11,62,35,175,59,187,130,89,188,134,25
12,77,98,17,65,1,88,118,57,124,11
13,92,77,161,77,196,128,0,0,0,0
14,69,1,80,36,101,80,187,61,76,4
15,87,165,23,143,141,142,137,136,117,71
24,33,187,167,55,35,31,159,0,0,0
28,91,185,134,100,187,187,109,117,199,43
39,12,94,17,15,171,67,0,0,0,0
42,44,161,160,26,95,3,100,0,0,0
45,63,158,100,193,97,91,78,0,0,0
49,51,68,55,51,72,78,193,66,10,141
59,188,54,155,116,48,196,0,0,0,0
63,173,62,19,65,57,172,0,0,0,0
81,143,132,140,60,55,181,166,187,113,41
85,180,143,136,20,33,164,122,166,50,106
95,91,26,85,8,40,25,200,149,158,146
96,156,42,175,93,10,0,0,0,0,0
100,70,172,145,142,194,119,0,0,0,0
106,5,16,186,161,94,16,74,22,183,88
109,84,29,154,189,29,24,8,92,95,8
116,151,55,33,167,196,2,85,67,19,129
125,45,8,172,6,161,111,104,190,24,107
148,108,124,137,31,76,179,91,98,112,200
151,93,46,27,66,135,168,41,173,144,101
160,150,186,123,122,15,1,3,30,57,182
165,199,85,131,104,90,127,140,164,8,57
167,34,113,9,87,35,39,161,91,89,111
173,68,162,98,191,47,41,81,90,155,39
184,1,124,138,12,85,184,129,39,146,168
193,136,192,183,3,29,0,0,0,0,0
195,127,143,20,87,60,113,193,159,162,114
215,10,57,183,133,121,40,23,100,72,10
226,99,61,22,165,197,169,138,32,29,37
235,55,143,132,167,173,111,169,79,7,66
243,89,142,160,190,1,28,26,39,0,0
244,103,114,3,84,45,0,0,0,0,0
246,121,136,10,163,94,73,144,148,158,136
256,101,23,11,114,121,169,168,65,91,0
264,126,176,14,12,85,70,13,2,30,8
268,8,19,104,4,175,0,0,0,0,0
270,200,138,200,77,179,154,117,147,1,79
295,45,112,81,20,97,126,33,39,28,0
303,133,101,172,78,130,120,68,151,117,105
306,173,22,109,192,122,39,42,102,78,129
312,55,81,120,77,1,168,13,0,0,0
313,55,196,119,127,136,55,81,137,87,174
331,81,138,87,60,179,70,38,101,33,131
366,168,89,193,63,33,4,106,145,165,21
370,78,195,123,61,176,151,56,86,160,167
383,183,199,167,41,26,105,189,158,0,0
389,18,10,129,176,16,144,197,0,0,0
403,30,174,33,128,174,0,0,0,0,0
409,22,87,127,126,110,48,66,3,0,0
426,144,23,104,17,148,0,0,0,0,0
430,152,96,80,144,120,0,0,0,0,0
432,192,109,165,131,192,98,197,158,40,0
438,101,73,44,19,45,120,98,0,0,0
442,13,8,172,98,78,196,97,63,0,0
445,158,26,180,2,179,29,156,133,90,0
481,28,124,178,186,188,0,0,0,0,0
484,36,142,94,183,199,110,0,0,0,0
487,66,99,162,100,47,159,36,119,76,163
488,23,160,74,74,46,87,140,98,146,2
501,60,159,104,169,193,45,43,114,35,106
502,187,125,80,94,33,117,73,183,0,0
507,126,156,155,185,98,73,37,22,28,149
513,52,151,163,25,157,3,158,173,51,122
517,179,187,177,183,50,76,142,31,70,200
521,44,119,55,90,41,5,74,100,73,139
546,61,140,55,5,7,86,142,151,128,195
549,147,194,138,24,103,82,108,2,170,48
554,26,106,176,34,37,196,108,172,190,114
560,20,2,193,174,138,72,0,0,0,0
569,33,14,117,94,109,72,90,80,102,64
571,70,66,193,76,159,192,66,5,51,0
577,198,102,32,36,92,100,171,79,53,0
593,84,38,57,43,46,148,140,42,112,67
600,107,96,187,9,5,183,10,90,186,180
602,129,54,107,49,148,108,0,0,0,0
605,102,4,68,192,3,165,179,0,0,0
615,7,46,34,153,38,104,188,0,0,0
640,123,70,8,76,116,143,200,86,185,178
649,40,122,55,198,56,1,150,78,0,0
658,108,31,192,26,6,104,66,83,80,114
669,123,9,99,193,63,13,0,0,0,0
671,45,59,168,123,168,49,70,110,188,26
692,85,98,120,110,74,38,15,77,110,165
697,78,23,148,84,95,188,39,32,138,90
699,189,35,88,54,119,0,0,0,0,0
721,99,72,64,134,138,149,178,192,191,69
736,38,183,170,119,69,153,43,113,106,156
737,127,87,110,115,117,115,25,193,147,0
740,83,26,51,102,19,31,149,93,0,0
749,155,109,146,70,16,200,63,193,145,1
750,36,115,113,35,185,174,135,145,16,196
758,158,123,137,161,17,200,83,87,76,83
767,173,55,168,190,21,96,166,100,32,190
772,31,12,91,35,40,189,100,179,0,0
792,49,51,115,166,133,110,64,5,21,145
803,46,21,70,139,145,159,171,199,0,0
814,113,59,135,66,71,129,184,186,89,148
819,108,103,88,160,80,68,143,173,133,0
827,143,184,42,2,65,172,85,71,77,36
844,18,135,169,174,156,52,163,98,1,33
845,153,75,197,180,26,126,29,0,0,0
854,23,44,107,152,117,161,133,65,0,0
857,200,90,188,172,14,3,62,146,9,137
858,43,84,140,7,22,152,79,176,63,179
872,132,2,57,31,104,80,67,101,0,0
893,139,159,115,121,87,4,196,0,0,0
912,106,113,185,39,28,199,119,193,86,10
942,119,79,23,90,36,40,20,44,155,39
943,101,109,197,155,157,111,30,97,55,86
968,180,128,178,62,187,54,194,72,184,85
980,78,63,49,70,141,29,47,120,0,0
993,134,16,126,104,49,92,30,96,78,102
1010,94,23,20,80,18,174,160,195,158,127
1012,183,99,105,78,180,195,11,94,121,135
1026,96,180,90,184,197,110,0,0,0,0
1045,35,66,32,12,16,104,63,0,0,0
1054,33,171,196,29,189,122,81,79,69,125
1057,84,64,176,20,187,188,51,57,183,73
1063,14,147,55,25,177,169,184,177,120,59
1065,141,1,172,190,51,130,194,141,132,176
1068,28,58,196,82,54,73,0,0,0,0
1089,12,167,25,52,53,9,15,34,92,41
1091,137,22,62,116,172,194,63,0,0,0
1100,120,102,181,12,15,135,0,0,0,0
1110,114,2,7,47,174,87,109,0,0,0
1111,73,17,80,182,145,103,164,173,73,165
1124,33,25,12,138,27,199,91,183,45,29
1144,104,189,41,159,135,66,19,141,0,0
1145,158,9,100,128,185,0,0,0,0,0
1189,78,104,116,49,101,157,37,55,53,155
1190,126,68,73,2,55,99,98,136,0,0
1199,116,130,59,76,35,188,158,142,15,185
1216,9,159,43,112,81,129,75,171,192,8
1226,64,15,179,114,168,66,63,49,79,184
1237,34,187,44,136,63,0,0,0,0,0
1260,167,1,183,142,4,160,45,67,4,142
1271,84,62,192,32,100,119,5,141,198,190
1274,150,62,115,90,73,74,34,177,155,170
1277,194,140,26,31,20,76,197,0,0,0
1284,20,7,163,159,69,25,47,30,0,0
1286,111,41,76,145,13,179,106,119,87,195
1297,198,121,129,83,103,5,53,12,24,173
1308,65,190,190,122,200,44,168,47,138,0
1337,60,130,25,192,81,0,0,0,0,0
1338,191,181,45,85,96,169,195,197,6,164
1339,119,132,133,136,7,24,170,0,0,0
1351,179,139,58,117,62,138,10,90,0,0
1361,48,22,7,87,176,58,56,0,0,0
1376,70,30,12,106,14,6,80,83,0,0
1377,186,187,52,59,61,122,71,0,0,0
1387,1,59,77,158,12,42,180,12,176,155
1390,36,13,195,200,24,154,19,104,0,0
1391,14,131,44,57,99,100,17,15,59,98
1413,5,180,63,24,32,170,0,0,0,0
1422,177,2,30,146,138,126,186,104,36,0
1433,110,64,9,27,11,103,74,0,0,0
1435,162,195,143,124,104,129,70,52,4,147
1436,79,149,123,164,46,26,159,88,5,119
1437,7,198,27,53,94,23,110,24,0,0
1443,167,146,154,175,140,109,175,115,126,79
1449,185,141,36,58,17,96,172,67,6,0
1450,3,56,182,95,14,0,0,0,0,0
1454,3,142,44,89,42,0,0,0,0,0
1472,176,55,153,124,122,0,0,0,0,0
1485,169,61,186,82,162,0,0,0,0,0
1496,72,178,26,175,117,36,67,0,0,0
1501,181,10,132,47,95,30,180,83,10,15
1513,176,161,52,155,124,185,28,94,100,38
1521,150,122,75,86,127,0,0,0,0,0
1523,14,3,178,19,146,183,167,0,0,0
1529,193,32,100,91,83,93,49,192,0,0
1535,60,121,175,82,180,99,46,20,64,72
1552,161,77,111,160,144,64,175,186,142,51
1554,141,58,36,67,153,69,35,26,0,0
1555,83,70,195,32,109,137,128,25,71,130
1561,99,38,154,93,163,54,29,56,181,149
1570,72,67,109,183,110,105,129,0,0,0
1574,129,176,154,81,167,186,125,197,0,0
1580,85,11,13,54,124,187,7,182,156,19
1599,198,59,56,16,100,164,42,65,111,181
1609,100,169,64,55,8,31,67,46,52,74
1614,130,52,112,95,30,195,150,173,0,0
1616,98,131,178,56,152,121,125,41,105,69
1622,146,23,102,28,152,187,72,57,85,125
1630,9,53,2,75,146,79,89,75,65,139
1632,151,158,140,151,74,54,70,74,173,196
1636,49,49,9,74,79,186,88,119,131,0
1646,2,68,98,16,37,52,10,107,32,7
1650,80,118,127,90,60,70,167,142,24,180
1663,14,136,190,109,89,114,90,184,197,82
1668,193,20,112,60,97,172,0,0,0,0
1674,19,169,51,48,161,188,40,111,110,0
1678,15,117,183,53,62,127,55,49,39,12
1688,109,71,125,102,81,162,13,121,143,47
1691,15,111,124,144,47,0,0,0,0,0
1710,51,163,103,70,178,192,103,153,92,0
