uid,pid1,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid9,pid10
3,155,101,12,14,35,14,116,0,0,0
4,144,74,186,9,120,32,164,125,7,160
5,75,45,99,37,91,140,149,129,92,76
6,42,86,17,83,53,59,122,70,128,0
7,122,146,83,51,179,33,0,0,0,0
8,19,33,100,140,86,137,44,127,88,81
9,35,67,153,103,120,154,189,189,179,43
10,11,27,18,42,98,142,196,35,0,0
11,94,5,5,27,135,128,79,17,79,122
12,128,145,15,183,158,47,123,76,161,161
13,116,21,80,174,11,162,0,0,0,0
14,125,163,138,76,34,84,36,139,177,152
15,180,9,50,159,192,45,199,102,137,87
24,1,62,108,190,50,69,41,0,0,0
28,144,76,8,70,75,3,30,130,40,134
39,37,116,55,69,67,94,0,0,0,0
42,141,197,82,188,137,134,61,0,0,0
45,160,44,183,155,97,29,161,0,0,0
49,187,41,33,64,46,2,161,45,123,146
59,32,176,108,148,61,24,0,0,0,0
63,120,142,185,92,164,135,0,0,0,0
81,128,83,8,94,154,149,174,164,169,24
85,97,85,146,174,115,67,174,95,163,162
95,57,18,47,60,77,36,183,23,156,63
96,190,182,181,177,60,0,0,0,0,0
100,4,42,0,143,24,88,0,0,0,0
106,5,149,142,101,20,39,199,73,15,10
109,188,153,75,110,54,171,175,141,65,106
116,167,54,67,131,2,184,38,196,65,178
125,66,66,61,23,161,127,15,107,104,56
148,185,11,136,80,196,167,175,151,110,75
151,75,17,125,158,64,132,48,103,177,140
160,192,65,71,110,100,198,85,162,124,78
165,3,37,92,154,146,33,12,184,132,49
167,118,182,72,21,77,39,170,135,3,160
173,102,76,68,75,108,20,140,37,95,174
184,114,141,123,33,101,176,178,102,43,138
193,52,37,99,175,187,0,0,0,0,0
195,145,152,16,10,32,164,23,103,81,188
215,20,91,26,171,75,182,131,155,168,104
226,87,193,39,178,179,78,172,116,119,52
235,182,140,19,56,44,29,112,11,186,59
243,165,133,35,80,83,67,195,44,0,0
244,155,63,167,97,170,0,0,0,0,0
246,46,51,46,32,68,149,104,39,16,156
256,1,168,168,19,105,39,28,125,98,0
264,21,69,0,141,112,186,84,140,200,144
268,94,34,66,108,85,0,0,0,0,0
270,196,163,123,160,72,52,31,154,46,164
295,139,22,154,185,168,11,88,147,123,0
303,114,82,176,158,186,85,174,153,70,186
306,127,37,123,15,17,189,97,89,164,86
312,133,126,91,30,75,4,73,0,0,0
313,139,151,173,173,44,165,194,178,178,87
331,114,33,154,162,129,162,181,130,26,54
366,19,136,184,171,55,147,115,164,200,133
370,44,105,6,18,161,90,163,140,8,49
383,126,122,30,67,173,122,108,118,0,0
389,39,79,126,54,48,167,111,0,0,0
403,96,117,21,179,79,0,0,0,0,0
409,87,186,120,163,95,129,96,61,0,0
426,79,8,133,131,169,0,0,0,0,0
430,177,79,133,41,67,0,0,0,0,0
432,85,31,148,45,185,8,84,200,13,0
438,51,74,60,40,153,71,48,0,0,0
442,162,68,47,17,145,192,32,116,0,0
445,107,77,34,9,73,185,53,54,108,0
481,13,141,148,44,143,0,0,0,0,0
484,86,157,190,128,13,101,0,0,0,0
487,143,113,92,82,194,182,198,161,98,170
488,20,126,170,65,112,200,200,173,101,106
501,86,103,21,160,13,41,66,84,137,100
502,14,88,115,64,84,67,45,149,0,0
507,192,118,190,40,96,141,172,145,47,73
513,157,70,137,180,197,97,44,83,141,165
517,33,180,20,112,198,112,30,175,38,127
521,155,1,69,117,89,125,172,35,159,45
546,33,124,146,123,162,119,122,172,16,137
549,194,0,175,16,101,146,148,171,67,143
554,86,41,130,106,3,31,61,62,114,61
560,132,36,166,132,194,128,0,0,0,0
569,54,134,111,92,168,123,2,155,148,172
571,197,52,179,79,16,132,104,134,50,0
577,44,134,197,72,143,150,66,158,95,0
593,48,66,180,114,126,98,37,20,43,7
600,144,153,161,21,192,141,188,190,148,115
602,104,200,141,74,19,100,0,0,0,0
605,89,135,170,10,156,139,163,0,0,0
615,95,79,55,156,35,95,187,0,0,0
640,64,19,171,27,99,17,47,175,79,44
649,175,154,94,29,31,75,1,52,0,0
658,33,138,115,23,113,51,14,140,141,45
669,164,186,146,136,162,152,0,0,0,0
671,35,118,117,171,158,70,65,84,144,115
692,16,192,177,77,197,2,179,138,1,137
697,141,104,18,121,65,197,106,100,173,68
699,191,5,10,144,194,0,0,0,0,0
721,24,78,81,106,18,146,169,55,68,128
