user_id,recommendations,recommended_categories,purchased_products,purchased_categories,precision@k
3,"[6136, 7693, 7432, 7215, 9921]","['Food', 'Kitchen', 'Pets']","[117, 77, 55, 10, 80, 134, 176]","['Food', 'Kitchen', 'Pets']",0.8
4,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']","[2, 2]",['Kitchen'],0.9
5,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 3, 2]","['Food', 'Kitchen']",1.0
6,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
7,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
8,"[6136, 7215, 7693, 2277, 9921]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
9,"[7693, 9921, 3455, 9504, 140]",['Kitchen'],"[2, 2, 2]",['Kitchen'],1.0
10,"[813, 4727, 4720, 9447, 7693]","['Toys', 'Kitchen']",[1],['Toys'],0.9
11,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
12,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
13,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
14,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
15,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
24,"[6136, 4375, 813, 7215, 3160]","['Food', 'Toys', 'Electronics', 'Clothing']","[33, 187, 167, 55, 35, 31, 159]","['Pets', 'Electronics', 'Food', 'Toys', 'Clothing']",0.8
28,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
39,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
42,"[6136, 7215, 5369, 2277, 8138]","['Food', 'Home']","[44, 161, 160, 26, 95, 3, 100]","['Food', 'Home']",0.8
45,"[6136, 7215, 7693, 2277, 8138]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
49,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']","[2, 2, 2]",['Kitchen'],0.9
59,"[6136, 7215, 7693, 2277, 8138]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
63,"[813, 4727, 4720, 9447, 7693]","['Toys', 'Kitchen']","[1, 1]",['Toys'],0.9
81,"[6136, 813, 101, 7693, 7215]","['Books', 'Food', 'Toys', 'Kitchen']","[2, 3, 2, 1]","['Food', 'Toys', 'Kitchen']",0.9
85,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[2, 3]","['Food', 'Kitchen']",1.0
95,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
96,"[6136, 101, 7215, 2277, 8138]","['Books', 'Food']","[156, 42, 175, 93, 10]","['Books', 'Food']",0.8
100,"[6136, 7215, 2277, 7693, 8138]","['Food', 'Kitchen']","[3, 2, 3]","['Food', 'Kitchen']",1.0
106,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[2, 3, 1]","['Food', 'Toys', 'Kitchen']",1.0
109,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[3, 2, 3]","['Food', 'Kitchen']",1.0
116,"[813, 4727, 4720, 7693, 9447]","['Toys', 'Kitchen']","[1, 1]",['Toys'],0.9
125,"[140, 7693, 9921, 3455, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
148,"[7693, 9921, 3455, 9504, 7500]",['Kitchen'],"[2, 2]",['Kitchen'],1.0
151,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 2]","['Toys', 'Kitchen']",1.0
160,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
165,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3, 3, 3]",['Food'],1.0
167,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
173,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[2, 3, 3]","['Food', 'Kitchen']",1.0
184,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
193,"[6136, 7215, 4375, 2277, 6103]","['Food', 'Clothing']","[136, 192, 183, 3, 29]","['Food', 'Clothing']",0.8
195,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[2, 2, 3, 1]","['Food', 'Toys', 'Kitchen']",1.0
215,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
226,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 2, 1, 2, 2]","['Toys', 'Kitchen']",1.0
235,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
243,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 2, 1]","['Toys', 'Kitchen']",1.0
244,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
246,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
256,"[7693, 9921, 3455, 9504, 7500]",['Kitchen'],[2],['Kitchen'],1.0
264,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
268,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
270,"[140, 7693, 9921, 3455, 9504]",['Kitchen'],[2],['Kitchen'],1.0
295,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
303,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
306,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 3, 1]","['Food', 'Toys']",1.0
312,"[6136, 813, 3160, 7215, 3602]","['Food', 'Automotive', 'Toys', 'Electronics']","[55, 81, 120, 77, 1, 168, 13]","['Pets', 'Electronics', 'Automotive', 'Food', 'Toys']",0.8
313,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
331,"[813, 4727, 4720, 9447, 1794]","['Toys', 'Garden']","[1, 1]",['Toys'],0.9
366,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
370,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3, 1]","['Food', 'Toys']",1.0
383,"[6136, 7215, 7693, 2277, 9921]","['Food', 'Kitchen']","[3, 3, 2]","['Food', 'Kitchen']",1.0
389,"[7693, 3455, 9921, 6136, 9504]","['Food', 'Kitchen']","[2, 2]",['Kitchen'],0.9
403,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']","[1, 1]",['Toys'],0.9
409,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[3, 1, 1]","['Food', 'Toys']",1.0
426,"[6136, 9663, 4375, 7215, 2277]","['Food', 'Outdoor', 'Clothing']","[144, 23, 104, 17, 148]","['Food', 'Outdoor', 'Clothing']",0.8
430,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
432,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
438,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2, 1]","['Toys', 'Kitchen']",1.0
442,"[7693, 9921, 3455, 9504, 7500]",['Kitchen'],[2],['Kitchen'],1.0
445,"[7693, 9921, 3455, 6136, 9504]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
481,"[101, 6136, 159, 7693, 7215]","['Books', 'Food', 'Kitchen', 'Electronics']","[28, 124, 178, 186, 188]","['Books', 'Food', 'Kitchen', 'Electronics']",0.8
484,"[7693, 9921, 3455, 6136, 9504]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
487,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
488,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3, 1, 1]","['Food', 'Toys']",1.0
501,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3, 3, 1]","['Food', 'Toys']",1.0
502,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
507,"[7693, 9921, 3455, 9504, 7500]",['Kitchen'],[2],['Kitchen'],1.0
513,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
517,"[6136, 5369, 4375, 813, 7693]","['Kitchen', 'Home', 'Food', 'Toys', 'Clothing']","[179, 187, 177, 183, 50, 76, 142, 31, 70, 200]","['Kitchen', 'Electronics', 'Accessories', 'Home', 'Food', 'Toys', 'Clothing']",0.8
521,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
546,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 2]","['Toys', 'Kitchen']",1.0
549,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[2, 1, 1]","['Toys', 'Kitchen']",1.0
554,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
560,"[3455, 7693, 6136, 9921, 9504]","['Food', 'Kitchen']","[2, 2]",['Kitchen'],0.9
569,"[7693, 9921, 126, 3455, 9504]","['Automotive', 'Kitchen']",[2],['Kitchen'],0.9
571,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[1, 3, 2, 1, 3]","['Food', 'Toys', 'Kitchen']",1.0
577,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 1, 2]","['Toys', 'Kitchen']",1.0
593,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']","[1, 1]",['Toys'],0.9
600,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
602,"[140, 7693, 9921, 3455, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
605,"[7693, 9921, 3455, 6136, 9504]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
615,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
640,"[6136, 7215, 7693, 2277, 9921]","['Food', 'Kitchen']","[2, 3]","['Food', 'Kitchen']",1.0
649,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2]","['Toys', 'Kitchen']",1.0
658,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
669,"[7693, 3455, 9921, 6136, 9504]","['Food', 'Kitchen']","[2, 2]",['Kitchen'],0.9
671,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 2]","['Toys', 'Kitchen']",1.0
692,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
697,"[813, 4727, 4720, 9447, 1794]","['Toys', 'Garden']",[1],['Toys'],0.9
699,"[6136, 7693, 7432, 7215, 9921]","['Food', 'Kitchen', 'Pets']","[189, 35, 88, 54, 119]","['Food', 'Kitchen', 'Pets']",0.8
721,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[2, 1, 2, 1]","['Toys', 'Kitchen']",1.0
736,"[7693, 9921, 3455, 9504, 1794]","['Garden', 'Kitchen']",[2],['Kitchen'],0.9
737,"[6136, 1794, 8117, 7693, 7215]","['Food', 'Accessories', 'Kitchen', 'Garden']","[127, 87, 110, 115, 117, 115, 25, 193, 147]","['Kitchen', 'Accessories', 'Garden', 'Smart Home', 'Food', 'Tools']",0.8
740,"[140, 7693, 9921, 3455, 9504]",['Kitchen'],[2],['Kitchen'],1.0
749,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1, 1, 1, 1]","['Food', 'Toys']",1.0
750,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
758,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
767,"[7693, 9921, 3455, 9504, 3160]","['Kitchen', 'Electronics']",[2],['Kitchen'],0.9
772,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
792,"[140, 7693, 9921, 3455, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
803,"[6136, 7693, 3160, 7215, 9921]","['Food', 'Kitchen', 'Electronics']","[46, 21, 70, 139, 145, 159, 171, 199]","['Food', 'Kitchen', 'Electronics']",0.8
814,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[3, 3, 2]","['Food', 'Kitchen']",1.0
819,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']","[2, 2, 2]",['Kitchen'],0.9
827,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 3, 3, 1]","['Food', 'Toys']",1.0
844,"[6136, 813, 2440, 7432, 3930]","['Pets', 'Health', 'Food', 'Toys', 'Travel']","[18, 135, 169, 174, 156, 52, 163, 98, 1, 33]","['Wearable Tech', 'Pets', 'Health', 'Safety', 'Food', 'Toys', 'Travel']",0.8
845,"[6136, 3160, 159, 7215, 7339]","['Food', 'Office', 'Electronics']","[153, 75, 197, 180, 26, 126, 29]","['Food', 'Automotive', 'Office', 'Electronics']",0.8
854,"[6136, 7215, 813, 2277, 4727]","['Food', 'Toys']","[3, 1, 3]","['Food', 'Toys']",1.0
857,"[6136, 7215, 2277, 8138, 9599]",['Food'],"[3, 3]",['Food'],1.0
858,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[3, 2, 2]","['Food', 'Kitchen']",1.0
872,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 1]","['Toys', 'Kitchen']",1.0
893,"[6136, 7215, 7693, 2277, 8138]","['Food', 'Kitchen']","[2, 3]","['Food', 'Kitchen']",1.0
912,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
942,"[813, 7693, 9921, 3455, 4727]","['Toys', 'Kitchen']","[1, 2]","['Toys', 'Kitchen']",1.0
943,"[7693, 9921, 3455, 9504, 7500]",['Kitchen'],[2],['Kitchen'],1.0
968,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
980,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[2, 2, 1]","['Toys', 'Kitchen']",1.0
993,"[813, 4727, 4720, 9447, 7693]","['Toys', 'Kitchen']",[1],['Toys'],0.9
1010,"[7693, 140, 9921, 3455, 9504]",['Kitchen'],[2],['Kitchen'],1.0
1012,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1026,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1045,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1054,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']",[1],['Toys'],0.9
1057,"[6136, 813, 4375, 7693, 7215]","['Food', 'Toys', 'Kitchen', 'Clothing']","[84, 64, 176, 20, 187, 188, 51, 57, 183, 73]","['Kitchen', 'Health', 'Food', 'Toys', 'Clothing']",0.8
1063,"[6136, 7693, 7215, 9921, 2277]","['Food', 'Kitchen']","[3, 2]","['Food', 'Kitchen']",1.0
1065,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1068,"[6136, 7215, 813, 101, 2277]","['Books', 'Food', 'Toys']","[1, 3]","['Food', 'Toys']",0.9
1089,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1091,"[7693, 3455, 9921, 9504, 7500]",['Kitchen'],"[2, 2, 2]",['Kitchen'],1.0
1100,"[813, 126, 4727, 6136, 4720]","['Food', 'Automotive', 'Toys']","[1, 1]",['Toys'],0.7
1110,"[6136, 7215, 126, 2277, 8138]","['Food', 'Automotive']",[3],['Food'],0.9
1111,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2, 1]","['Toys', 'Kitchen']",1.0
1124,"[813, 4727, 4720, 6136, 9447]","['Food', 'Toys']","[1, 1, 1]",['Toys'],0.9
1144,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1145,"[813, 4727, 3455, 7693, 9504]","['Toys', 'Kitchen']","[2, 1, 2, 2]","['Toys', 'Kitchen']",1.0
1189,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[1, 3]","['Food', 'Toys']",1.0
1190,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1199,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']","[2, 2, 2]",['Kitchen'],0.9
1216,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[2, 1, 3]","['Food', 'Toys', 'Kitchen']",1.0
1226,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[1, 2, 3]","['Food', 'Toys', 'Kitchen']",1.0
1237,"[6136, 7215, 2277, 8138, 7693]","['Food', 'Kitchen']","[3, 2, 2]","['Food', 'Kitchen']",1.0
1260,"[813, 7693, 9921, 4727, 3455]","['Toys', 'Kitchen']","[1, 2, 1]","['Toys', 'Kitchen']",1.0
1271,"[6136, 813, 7215, 2277, 4727]","['Food', 'Toys']","[3, 1]","['Food', 'Toys']",1.0
1274,"[6136, 813, 7693, 7215, 9921]","['Food', 'Toys', 'Kitchen']","[1, 1, 2, 3]","['Food', 'Toys', 'Kitchen']",1.0
1277,"[6136, 7215, 7693, 2277, 8138]","['Food', 'Kitchen']","[2, 2, 3]","['Food', 'Kitchen']",1.0
1284,"[813, 4727, 4720, 9447, 7693]","['Toys', 'Kitchen']","[1, 1]",['Toys'],0.9
1286,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[2, 3, 3, 3]","['Food', 'Kitchen']",1.0
1297,"[6136, 7693, 7215, 2277, 9921]","['Food', 'Kitchen']","[2, 3]","['Food', 'Kitchen']",1.0
1308,"[6136, 7215, 2277, 8138, 9599]",['Food'],[3],['Food'],1.0
1337,"[7693, 9921, 3455, 9504, 6136]","['Food', 'Kitchen']",[2],['Kitchen'],0.9
